,title,term,tfidf
14882811, Introduction to Data Management Plans for Researchers,data management,0.3354326924428976
14887476, Introduction to Data Management Plans for Researchers,management,0.27312776764643215
14882750, Introduction to Data Management Plans for Researchers,data,0.24458427971210195
14894152, Introduction to Data Management Plans for Researchers,water,0.180594465930205
14887485, Introduction to Data Management Plans for Researchers,management plan,0.17569843204639174
14889189, Introduction to Data Management Plans for Researchers,plan,0.146595800285655
14887486, Introduction to Data Management Plans for Researchers,management plans,0.11875158387297509
14889330, Introduction to Data Management Plans for Researchers,postdoctoral researcher,0.11875158387297509
14891036, Introduction to Data Management Plans for Researchers,saia,0.11875158387297509
14891568, Introduction to Data Management Plans for Researchers,sheila,0.11875158387297509
9091176,&quot;Open&quot; Office Hours,open,0.30306847996572317
9083901,&quot;Open&quot; Office Hours,bring nc,0.14444858921363254
9085479,&quot;Open&quot; Office Hours,data questions,0.14444858921363254
9089296,&quot;Open&quot; Office Hours,knowledge librarian,0.14444858921363254
9089663,&quot;Open&quot; Office Hours,librarian registration,0.14444858921363254
9091191,&quot;Open&quot; Office Hours,open knowledge,0.14444858921363254
9092807,&quot;Open&quot; Office Hours,questions topics,0.14444858921363254
9093090,&quot;Open&quot; Office Hours,related issues,0.14444858921363254
9093800,&quot;Open&quot; Office Hours,scholarship feel,0.14444858921363254
9094787,&quot;Open&quot; Office Hours,state open,0.14444858921363254
9849291,&quot;Open&quot; Office Hours - Sharing pre-prints,open,0.29139184246498373
9852320,&quot;Open&quot; Office Hours - Sharing pre-prints,sharing,0.2179827068360749
9842356,&quot;Open&quot; Office Hours - Sharing pre-prints,chat,0.1388832667692412
9842357,&quot;Open&quot; Office Hours - Sharing pre-prints,chat issues,0.1388832667692412
9842724,&quot;Open&quot; Office Hours - Sharing pre-prints,come chat,0.1388832667692412
9843548,&quot;Open&quot; Office Hours - Sharing pre-prints,data episode,0.1388832667692412
9844772,&quot;Open&quot; Office Hours - Sharing pre-prints,episode,0.1388832667692412
9844773,&quot;Open&quot; Office Hours - Sharing pre-prints,episode open,0.1388832667692412
9845397,&quot;Open&quot; Office Hours - Sharing pre-prints,focus practice,0.1388832667692412
9845554,&quot;Open&quot; Office Hours - Sharing pre-prints,free come,0.1388832667692412
4547892,360 Degree Videos Made Easy,videos,0.1899364955278118
4547877,360 Degree Videos Made Easy,video,0.1810585672153445
6023050,360 Degree Videos Made Easy,create videos,0.1650621814234784
6034595,360 Degree Videos Made Easy,wanted create,0.1650621814234784
7431702,360 Degree Videos Made Easy,videos,0.1631678081491651
7446567,360 Degree Videos Made Easy,videos,0.1631678081491651
8858742,360 Degree Videos Made Easy,videos,0.1631678081491651
6034392,360 Degree Videos Made Easy,videos,0.16194847644702176
7420399,360 Degree Videos Made Easy,creating videos,0.15429286449008633
7423982,360 Degree Videos Made Easy,interested creating,0.15429286449008633
12872292,360° Videos Made Easy,videos,0.1631678081491651
12860989,360° Videos Made Easy,creating videos,0.15429286449008633
12864572,360° Videos Made Easy,interested creating,0.15429286449008633
12871897,360° Videos Made Easy,uploading,0.15000556323364414
12871898,360° Videos Made Easy,uploading youtube,0.15000556323364414
12872289,360° Videos Made Easy,video uploading,0.15000556323364414
12859763,360° Videos Made Easy,camera workflow,0.14638070167077527
12859809,360° Videos Made Easy,capturing editing,0.14638070167077527
12862044,360° Videos Made Easy,editing video,0.14638070167077527
12862262,360° Videos Made Easy,engage explore,0.14638070167077527
903138,3D Scanning Studio Orientation,scanning,0.41714848303811114
1809903,3D Scanning Studio Orientation,scanning,0.41714848303811114
2672073,3D Scanning Studio Orientation,scanning,0.41714848303811114
3251808,3D Scanning Studio Orientation,scanning,0.41714848303811114
4188303,3D Scanning Studio Orientation,scanning,0.41714848303811114
4872093,3D Scanning Studio Orientation,scanning,0.41714848303811114
5169393,3D Scanning Studio Orientation,scanning,0.41714848303811114
5213988,3D Scanning Studio Orientation,scanning,0.41714848303811114
5511288,3D Scanning Studio Orientation,scanning,0.41714848303811114
5778858,3D Scanning Studio Orientation,scanning,0.41714848303811114
3939835,3D Visualization of Anatomical Structures Using Amira,applications software,0.13431194704806232
3940026,3D Visualization of Anatomical Structures Using Amira,assess biological,0.13431194704806232
3940464,3D Visualization of Anatomical Structures Using Amira,biological tissues,0.13431194704806232
3942036,3D Visualization of Anatomical Structures Using Amira,ct,0.13431194704806232
3942037,3D Visualization of Anatomical Structures Using Amira,ct dti,0.13431194704806232
3942272,3D Visualization of Anatomical Structures Using Amira,datasets powerful,0.13431194704806232
3942299,3D Visualization of Anatomical Structures Using Amira,decade,0.13431194704806232
3942300,3D Visualization of Anatomical Structures Using Amira,decade scientific,0.13431194704806232
3942652,3D Visualization of Anatomical Structures Using Amira,digital imaging,0.13431194704806232
3942698,3D Visualization of Anatomical Structures Using Amira,disciplines increasingly,0.13431194704806232
18619377,A Gentle Introduction to Network Analysis in R,network,0.22890208353223868
8362527,A Gentle Introduction to Network Analysis in R,network,0.2253605656177684
18613156,A Gentle Introduction to Network Analysis in R,community college,0.2093021832081853
8356306,A Gentle Introduction to Network Analysis in R,community college,0.20606391023167422
18619378,A Gentle Introduction to Network Analysis in R,network analysis,0.2056106153001246
8362528,A Gentle Introduction to Network Analysis in R,network analysis,0.20242945737332008
18613039,A Gentle Introduction to Network Analysis in R,college,0.1964180302706852
8356189,A Gentle Introduction to Network Analysis in R,college,0.19337909780578857
18611394,A Gentle Introduction to Network Analysis in R,analysis,0.17853982826511555
8354544,A Gentle Introduction to Network Analysis in R,analysis,0.17577750303639697
2313545,Academic Posters 101,posters,0.5035741276250579
3770315,Academic Posters 101,posters,0.5035741276250579
2304125,Academic Posters 101,academic posters,0.30214447657503474
3760895,Academic Posters 101,academic posters,0.30214447657503474
2304121,Academic Posters 101,academic,0.23633299691903098
3760891,Academic Posters 101,academic,0.23633299691903098
2304986,Academic Posters 101,audience encourage,0.10071482552501158
2304995,Academic Posters 101,audiences academic,0.10071482552501158
2305242,Academic Posters 101,benefits academic,0.10071482552501158
2305456,Academic Posters 101,bring drafts,0.10071482552501158
357036,Agile &amp; Scrum 101 - Stories and Scrum Ceremonies ,agile,0.21445232319133586
368139,Agile &amp; Scrum 101 - Stories and Scrum Ceremonies ,scrum,0.21445232319133586
357038,Agile &amp; Scrum 101 - Stories and Scrum Ceremonies ,agile teams,0.11337361201139719
357629,Agile &amp; Scrum 101 - Stories and Scrum Ceremonies ,attendees build,0.11337361201139719
358114,Agile &amp; Scrum 101 - Stories and Scrum Ceremonies ,breaking,0.11337361201139719
358115,Agile &amp; Scrum 101 - Stories and Scrum Ceremonies ,breaking project,0.11337361201139719
358187,Agile &amp; Scrum 101 - Stories and Scrum Ceremonies ,build concepts,0.11337361201139719
358414,Agile &amp; Scrum 101 - Stories and Scrum Ceremonies ,ceremonies,0.11337361201139719
358415,Agile &amp; Scrum 101 - Stories and Scrum Ceremonies ,ceremonies used,0.11337361201139719
358500,Agile &amp; Scrum 101 - Stories and Scrum Ceremonies ,checkpoints,0.11337361201139719
1305261,An Introduction to Data Sonification,sound,0.2086101839556556
1296241,An Introduction to Data Sonification,data sound,0.1935480947199727
1296288,An Introduction to Data Sonification,dataset,0.15992391250260327
1296140,An Introduction to Data Sonification,data,0.15976877320378924
1299598,An Introduction to Data Sonification,interested,0.1209302314927336
1299731,An Introduction to Data Sonification,introductory,0.1209302314927336
1293663,An Introduction to Data Sonification,amp viz,0.10666095539284715
1294022,An Introduction to Data Sonification,artists interested,0.10666095539284715
1294183,An Introduction to Data Sonification,audio files,0.10666095539284715
1294278,An Introduction to Data Sonification,ballora,0.10666095539284715
15372416,Art United: Body Positivity Zine Workshop,collaborative workshop,0.19815469803789773
15377847,Art United: Body Positivity Zine Workshop,lopes,0.19815469803789773
15378669,Art United: Body Positivity Zine Workshop,natalia,0.19815469803789773
15378670,Art United: Body Positivity Zine Workshop,natalia lopes,0.19815469803789773
15378310,Art United: Body Positivity Zine Workshop,members,0.1649573918134594
15372409,Art United: Body Positivity Zine Workshop,collaborative,0.1447612355333149
15378706,Art United: Body Positivity Zine Workshop,nc state,0.13617802201328924
15378701,Art United: Body Positivity Zine Workshop,nc,0.13583387347830486
15385059,Art United: Body Positivity Zine Workshop,workshop participants,0.1334342804661036
15382661,Art United: Body Positivity Zine Workshop,state,0.13286369415353386
14876770,Basics of SimplyAnalytics,simplyanalytics,0.2570820317707753
14875640,Basics of SimplyAnalytics,reports,0.23325188328150812
14872390,Basics of SimplyAnalytics,locations,0.17138802118051688
14867885,Basics of SimplyAnalytics,data,0.12836212550779635
14872697,Basics of SimplyAnalytics,maps,0.12233822253912328
14875272,Basics of SimplyAnalytics,questions,0.09854779637391217
14878840,Basics of SimplyAnalytics,using,0.0924898032783011
14865239,Basics of SimplyAnalytics,advanced tips,0.08569401059025844
14865406,Basics of SimplyAnalytics,amp tricks,0.08569401059025844
14865416,Basics of SimplyAnalytics,analysis applying,0.08569401059025844
2201147,Beat Saber Tournament @ DH Hill Library Virtual Reality Studio,beat saber,0.33438613222769203
